# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      78.348      104.500     5970.570    16404.336
      78.463       97.000     6043.336    16484.434
      78.576      105.100     5983.066    16475.266
      78.690       96.800     5993.895    16475.266
      78.804      105.100     6008.074    16475.266
      78.918       96.900     6022.254    16475.266
      79.031      104.800     6036.691    16475.266
      79.146       96.700     6051.609    16551.535
      79.260       68.700     6051.078    16484.801
      79.377      104.500     6061.172    16501.938
      79.491       95.300     6123.898    19860.152
      79.607      104.300     6506.047    19860.152
      79.722       96.500     6881.328    19860.152
      79.836       96.200     6911.742    19871.711
      79.950       87.800     6965.516    19885.188
      80.064       87.200     6976.488    19901.945
      80.179      103.700     6989.914    19977.730
      80.295      105.800     6999.676    19988.457
      80.408       95.700     7008.617    20003.320
      80.523      103.800     7017.699    20012.375
      80.639       96.800     7024.469    20021.883
      80.752       95.800     7031.887    20027.344
      80.867      121.300     7034.309    20096.445
      80.982      105.300     7041.785    20096.445
      81.096       97.000     7054.160    20096.445
      81.210       97.000     7068.340    20096.445
      81.323       96.800     7082.520    20096.445
      81.437      105.400     7096.699    20096.445
      81.551       95.100     7120.121    20172.715
      81.666       70.400     7110.543    20105.980
      81.780       95.700     7151.043    23481.203
      81.895       95.100     7483.090    23481.332
      82.011       94.700     7797.492    23481.332
      82.127      112.400     7968.867    23490.785
      82.243       79.200     8022.961    23506.367
      82.356       95.500     8033.668    23521.508
      82.471       95.300     8048.953    23598.910
      82.587      103.900     8058.992    23609.773
